Benchmark,Average IPC,L2TLB HIT ratio,L1VTLB HIT ratio
aes,0.6664610274049994,0.0,0.8496476532376013
bfs,0.00175180288459375,0.38461538461538464,0.9209558823529411
bitonicsort,0.1293691452067655,0.021539095189508466,0.255602818191255
concurrentkernel,0.0721396398028124,0.17926186291739896,0.7250103386213476
fastwalshtransform,0.2424101835474218,0.06329678167067844,0.5749775155715653
fir,0.9491704973232504,0.24177163754571313,0.7348945672495965
floydwarshall,0.0011393626223750015,0.7536231884057971,0.2899673693572425
im2col,0.09485038849384386,0.0,0.058823529411764705
kmeans,0.013249431832750016,0.0,0.3326671304787806
matrixmultiplication,0.0067890632253125,0.23529411764705882,0.9480702764976957
matrixtranspose,0.013153153153249999,0.0,0.7012406947890819
memcopy,nan,0,0
pagerank,0.009045484590000008,0.09830310122878877,0.761623975941137
relu,0.07465652812599995,0.053456221198156684,0.01886792452830189
stencil2d,0.003993729224375,0.6330275229357798,0.8594295463180004
xor,0.000117632343828125,0.1111111111111111,0.064
