, where, what, value
0, Driver, kernel_time, 0.000029903000
1, Driver, total_time, 0.000042990000
2, GPU[1].CommandProcessor, kernel_time, 0.000029271000
3, GPU[2].CommandProcessor, kernel_time, 0.000029280000
4, GPU[3].CommandProcessor, kernel_time, 0.000029148000
5, GPU[4].CommandProcessor, kernel_time, 0.000029302000
6, GPU[1].SA[0].CU[0], cu_inst_count, 7022.000000000000
7, GPU[1].SA[0].CU[0], cu_CPI, 4.258473369410
8, GPU[1].SA[0].CU[0], cu_IPC, 0.234825937197
9, GPU[1].SA[0].CU[0], simd_inst_count, 6080.000000000000
10, GPU[1].SA[0].CU[0], simd_CPI, 4.918256578947
11, GPU[1].SA[0].CU[1], cu_inst_count, 7022.000000000000
12, GPU[1].SA[0].CU[1], cu_CPI, 4.258473369410
13, GPU[1].SA[0].CU[1], cu_IPC, 0.234825937197
14, GPU[1].SA[0].CU[1], simd_inst_count, 6080.000000000000
15, GPU[1].SA[0].CU[1], simd_CPI, 4.918256578947
16, GPU[1].SA[0].CU[2], cu_inst_count, 7022.000000000000
17, GPU[1].SA[0].CU[2], cu_CPI, 4.258473369410
18, GPU[1].SA[0].CU[2], cu_IPC, 0.234825937197
19, GPU[1].SA[0].CU[2], simd_inst_count, 6086.000000000000
20, GPU[1].SA[0].CU[2], simd_CPI, 4.913407821229
21, GPU[1].SA[0].CU[3], cu_inst_count, 7022.000000000000
22, GPU[1].SA[0].CU[3], cu_CPI, 4.258473369410
23, GPU[1].SA[0].CU[3], cu_IPC, 0.234825937197
24, GPU[1].SA[0].CU[3], simd_inst_count, 6075.000000000000
25, GPU[1].SA[0].CU[3], simd_CPI, 4.922304526749
26, GPU[1].SA[1].CU[0], cu_inst_count, 7022.000000000000
27, GPU[1].SA[1].CU[0], cu_CPI, 4.258473369410
28, GPU[1].SA[1].CU[0], cu_IPC, 0.234825937197
29, GPU[1].SA[1].CU[0], simd_inst_count, 6087.000000000000
30, GPU[1].SA[1].CU[0], simd_CPI, 4.912600624281
31, GPU[1].SA[1].CU[1], cu_inst_count, 7022.000000000000
32, GPU[1].SA[1].CU[1], cu_CPI, 4.258473369410
33, GPU[1].SA[1].CU[1], cu_IPC, 0.234825937197
34, GPU[1].SA[1].CU[1], simd_inst_count, 6088.000000000000
35, GPU[1].SA[1].CU[1], simd_CPI, 4.911793692510
36, GPU[1].SA[1].CU[2], cu_inst_count, 7022.000000000000
37, GPU[1].SA[1].CU[2], cu_CPI, 4.258473369410
38, GPU[1].SA[1].CU[2], cu_IPC, 0.234825937197
39, GPU[1].SA[1].CU[2], simd_inst_count, 6089.000000000000
40, GPU[1].SA[1].CU[2], simd_CPI, 4.910987025784
41, GPU[1].SA[1].CU[3], cu_inst_count, 7022.000000000000
42, GPU[1].SA[1].CU[3], cu_CPI, 4.258473369410
43, GPU[1].SA[1].CU[3], cu_IPC, 0.234825937197
44, GPU[1].SA[1].CU[3], simd_inst_count, 6088.000000000000
45, GPU[1].SA[1].CU[3], simd_CPI, 4.911793692510
46, GPU[1].SA[2].CU[0], cu_inst_count, 7022.000000000000
47, GPU[1].SA[2].CU[0], cu_CPI, 4.258473369410
48, GPU[1].SA[2].CU[0], cu_IPC, 0.234825937197
49, GPU[1].SA[2].CU[0], simd_inst_count, 6086.000000000000
50, GPU[1].SA[2].CU[0], simd_CPI, 4.913407821229
51, GPU[1].SA[2].CU[1], cu_inst_count, 7022.000000000000
52, GPU[1].SA[2].CU[1], cu_CPI, 4.258473369410
53, GPU[1].SA[2].CU[1], cu_IPC, 0.234825937197
54, GPU[1].SA[2].CU[1], simd_inst_count, 6087.000000000000
55, GPU[1].SA[2].CU[1], simd_CPI, 4.912600624281
