, where, what, value
0, Driver, kernel_time, 0.000041639000
1, Driver, total_time, 0.000065044000
2, GPU[1].CommandProcessor, kernel_time, 0.000041050000
3, GPU[1].SA[0].CU[0], cu_inst_count, 28088.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 1.482448020507
5, GPU[1].SA[0].CU[0], cu_IPC, 0.674559907779
6, GPU[1].SA[0].CU[0], simd_inst_count, 24784.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 1.680075855391
8, GPU[1].SA[0].CU[1], cu_inst_count, 28088.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 1.482448020507
10, GPU[1].SA[0].CU[1], cu_IPC, 0.674559907779
11, GPU[1].SA[0].CU[1], simd_inst_count, 24679.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 1.687223955590
13, GPU[1].SA[0].CU[2], cu_inst_count, 28088.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 1.482448020507
15, GPU[1].SA[0].CU[2], cu_IPC, 0.674559907779
16, GPU[1].SA[0].CU[2], simd_inst_count, 24734.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 1.683472143608
18, GPU[1].SA[0].CU[3], cu_inst_count, 28088.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 1.482448020507
20, GPU[1].SA[0].CU[3], cu_IPC, 0.674559907779
21, GPU[1].SA[0].CU[3], simd_inst_count, 24771.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 1.680957571354
23, GPU[1].SA[1].CU[0], cu_inst_count, 28088.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 1.482448020507
25, GPU[1].SA[1].CU[0], cu_IPC, 0.674559907779
26, GPU[1].SA[1].CU[0], simd_inst_count, 24690.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 1.686472255974
28, GPU[1].SA[1].CU[1], cu_inst_count, 28088.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 1.482448020507
30, GPU[1].SA[1].CU[1], cu_IPC, 0.674559907779
31, GPU[1].SA[1].CU[1], simd_inst_count, 24761.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 1.681636444409
33, GPU[1].SA[1].CU[2], cu_inst_count, 28088.000000000000
