Benchmark,Average IPC,L2TLB HIT ratio,L1VTLB HIT ratio
aes,0.6506671608600004,0.0,0.8496147780762531
bfs,0.00175180288459375,0.38461538461538464,0.9209558823529411
bitonicsort,0.12939487958159368,0.02103517418435995,0.25405032035120945
concurrentkernel,0.07188083165781248,0.15452930728241562,0.7252957816414618
fastwalshtransform,0.2434407850674532,0.06276439609772944,0.5641517385107684
fir,0.9242047484850009,0.23073684210526316,0.7337705164342545
floydwarshall,0.0011393626223750015,0.7536231884057971,0.2899673693572425
im2col,0.09485038849384386,0.0,0.058823529411764705
kmeans,0.013249431832750016,0.0,0.3326671304787806
matrixmultiplication,0.006788432974375,0.23529411764705882,0.9480702764976957
matrixtranspose,0.013197143632,0.0,0.7012406947890819
memcopy,nan,0,0
pagerank,0.009046176736,0.09830310122878877,0.761623975941137
relu,0.074658140891,0.07142857142857142,0.01886792452830189
stencil2d,0.003993729224375,0.6330275229357798,0.8594295463180004
xor,0.000117632343828125,0.1111111111111111,0.064
