Benchmark,L1VCache HIT ratio,L2 HIT ratio,DRAM HIT ratio
aes,0.9816027815647358,0.052795031055900624,0.49996964361605245
bfs,0.9135338345864662,0.0,0.5268817204301075
bitonicsort,0.053140158777133004,0.9902877171086445,0.4990781789505094
concurrentkernel,0.30788906730358023,0.9205577661512048,0.3405097748082158
fastwalshtransform,0.16070719611214754,0.015386220700253275,0.49999275428088524
fir,0.6664219695250319,0.8461975188153376,0.41629941960146816
floydwarshall,0.0440251572327044,0.7710843373493976,0.477124183006536
im2col,0.0,0.0,0.8598484848484849
kmeans,0.36585365853658536,0.7675298879436345,0.7647393757440861
matrixmultiplication,0.0,0.009523809523809525,0.45621181262729127
matrixtranspose,0.0,0.0007288629737609329,0.4999695474754857
memcopy,0,0,0.5
pagerank,0.9921875,0.26178848771115204,0.4864964658719274
relu,0.0,0.0,0.4999961857974353
stencil2d,0.28346456692913385,0.6606334841628959,0.412568306010929
xor,0.0,0.038461538461538464,0.44715447154471544
