, where, what, value
0, Driver, kernel_time, 0.001658088000
1, Driver, total_time, 0.002079351000
2, GPU[1].CommandProcessor, kernel_time, 0.001478035000
3, GPU[2].CommandProcessor, kernel_time, 0.001527376000
4, GPU[3].CommandProcessor, kernel_time, 0.001242118000
5, GPU[4].CommandProcessor, kernel_time, 0.001219509000
6, GPU[1].SA[0].CU[0], cu_inst_count, 148960.000000000000
7, GPU[1].SA[0].CU[0], cu_CPI, 11.131095596133
8, GPU[1].SA[0].CU[0], cu_IPC, 0.089838416296
9, GPU[1].SA[0].CU[0], simd_inst_count, 84768.000000000000
10, GPU[1].SA[0].CU[0], simd_CPI, 19.560305775764
11, GPU[1].SA[0].CU[1], cu_inst_count, 148960.000000000000
12, GPU[1].SA[0].CU[1], cu_CPI, 11.131095596133
13, GPU[1].SA[0].CU[1], cu_IPC, 0.089838416296
14, GPU[1].SA[0].CU[1], simd_inst_count, 83855.000000000000
15, GPU[1].SA[0].CU[1], simd_CPI, 19.773275296643
16, GPU[1].SA[0].CU[2], cu_inst_count, 148960.000000000000
17, GPU[1].SA[0].CU[2], cu_CPI, 11.131095596133
18, GPU[1].SA[0].CU[2], cu_IPC, 0.089838416296
19, GPU[1].SA[0].CU[2], simd_inst_count, 83295.000000000000
20, GPU[1].SA[0].CU[2], simd_CPI, 19.906212857915
21, GPU[1].SA[0].CU[3], cu_inst_count, 148960.000000000000
22, GPU[1].SA[0].CU[3], cu_CPI, 11.131095596133
23, GPU[1].SA[0].CU[3], cu_IPC, 0.089838416296
24, GPU[1].SA[0].CU[3], simd_inst_count, 84271.000000000000
25, GPU[1].SA[0].CU[3], simd_CPI, 19.675665412775
26, GPU[1].SA[1].CU[0], cu_inst_count, 148960.000000000000
27, GPU[1].SA[1].CU[0], cu_CPI, 11.131095596133
28, GPU[1].SA[1].CU[0], cu_IPC, 0.089838416296
29, GPU[1].SA[1].CU[0], simd_inst_count, 83505.000000000000
30, GPU[1].SA[1].CU[0], simd_CPI, 19.856152326208
31, GPU[1].SA[1].CU[1], cu_inst_count, 148960.000000000000
32, GPU[1].SA[1].CU[1], cu_CPI, 11.131095596133
33, GPU[1].SA[1].CU[1], cu_IPC, 0.089838416296
34, GPU[1].SA[1].CU[1], simd_inst_count, 82977.000000000000
35, GPU[1].SA[1].CU[1], simd_CPI, 19.982501175024
36, GPU[1].SA[1].CU[2], cu_inst_count, 148960.000000000000
37, GPU[1].SA[1].CU[2], cu_CPI, 11.131095596133
38, GPU[1].SA[1].CU[2], cu_IPC, 0.089838416296
39, GPU[1].SA[1].CU[2], simd_inst_count, 83778.000000000000
40, GPU[1].SA[1].CU[2], simd_CPI, 19.791448829048
41, GPU[1].SA[1].CU[3], cu_inst_count, 148960.000000000000
42, GPU[1].SA[1].CU[3], cu_CPI, 11.131095596133
43, GPU[1].SA[1].CU[3], cu_IPC, 0.089838416296
44, GPU[1].SA[1].CU[3], simd_inst_count, 83952.000000000000
45, GPU[1].SA[1].CU[3], simd_CPI, 19.750428816467
46, GPU[1].SA[2].CU[0], cu_inst_count, 148960.000000000000
47, GPU[1].SA[2].CU[0], cu_CPI, 11.131095596133
48, GPU[1].SA[2].CU[0], cu_IPC, 0.089838416296
49, GPU[1].SA[2].CU[0], simd_inst_count, 85514.000000000000
50, GPU[1].SA[2].CU[0], simd_CPI, 19.389667188998
51, GPU[1].SA[2].CU[1], cu_inst_count, 148960.000000000000
52, GPU[1].SA[2].CU[1], cu_CPI, 11.131095596133
53, GPU[1].SA[2].CU[1], cu_IPC, 0.089838416296
54, GPU[1].SA[2].CU[1], simd_inst_count, 84502.000000000000
55, GPU[1].SA[2].CU[1], simd_CPI, 19.621878772100
56, GPU[1].SA[2].CU[2], cu_inst_count, 148960.000000000000
57, GPU[1].SA[2].CU[2], cu_CPI, 11.131095596133
58, GPU[1].SA[2].CU[2], cu_IPC, 0.089838416296
59, GPU[1].SA[2].CU[2], simd_inst_count, 84206.000000000000
60, GPU[1].SA[2].CU[2], simd_CPI, 19.690853383369
61, GPU[1].SA[2].CU[3], cu_inst_count, 148960.000000000000
62, GPU[1].SA[2].CU[3], cu_CPI, 11.131095596133
63, GPU[1].SA[2].CU[3], cu_IPC, 0.089838416296
64, GPU[1].SA[2].CU[3], simd_inst_count, 84067.000000000000
65, GPU[1].SA[2].CU[3], simd_CPI, 19.723411088774
66, GPU[1].SA[3].CU[0], cu_inst_count, 148960.000000000000
67, GPU[1].SA[3].CU[0], cu_CPI, 11.131095596133
68, GPU[1].SA[3].CU[0], cu_IPC, 0.089838416296
69, GPU[1].SA[3].CU[0], simd_inst_count, 84183.000000000000
70, GPU[1].SA[3].CU[0], simd_CPI, 19.696233206229
71, GPU[1].SA[3].CU[1], cu_inst_count, 148960.000000000000
72, GPU[1].SA[3].CU[1], cu_CPI, 11.131095596133
73, GPU[1].SA[3].CU[1], cu_IPC, 0.089838416296
74, GPU[1].SA[3].CU[1], simd_inst_count, 84344.000000000000
75, GPU[1].SA[3].CU[1], simd_CPI, 19.658636061842
76, GPU[1].SA[3].CU[2], cu_inst_count, 148960.000000000000
77, GPU[1].SA[3].CU[2], cu_CPI, 11.131095596133
78, GPU[1].SA[3].CU[2], cu_IPC, 0.089838416296
79, GPU[1].SA[3].CU[2], simd_inst_count, 84180.000000000000
80, GPU[1].SA[3].CU[2], simd_CPI, 19.696935138988
81, GPU[1].SA[3].CU[3], cu_inst_count, 148960.000000000000
82, GPU[1].SA[3].CU[3], cu_CPI, 11.131095596133
83, GPU[1].SA[3].CU[3], cu_IPC, 0.089838416296
84, GPU[1].SA[3].CU[3], simd_inst_count, 84638.000000000000
85, GPU[1].SA[3].CU[3], simd_CPI, 19.590349488409
86, GPU[1].SA[4].CU[0], cu_inst_count, 148960.000000000000
87, GPU[1].SA[4].CU[0], cu_CPI, 11.131095596133
88, GPU[1].SA[4].CU[0], cu_IPC, 0.089838416296
89, GPU[1].SA[4].CU[0], simd_inst_count, 84238.000000000000
90, GPU[1].SA[4].CU[0], simd_CPI, 19.683373299461
91, GPU[1].SA[4].CU[1], cu_inst_count, 148960.000000000000
92, GPU[1].SA[4].CU[1], cu_CPI, 11.131095596133
93, GPU[1].SA[4].CU[1], cu_IPC, 0.089838416296
94, GPU[1].SA[4].CU[1], simd_inst_count, 84309.000000000000
95, GPU[1].SA[4].CU[1], simd_CPI, 19.666797139095
96, GPU[1].SA[4].CU[2], cu_inst_count, 148960.000000000000
97, GPU[1].SA[4].CU[2], cu_CPI, 11.131095596133
98, GPU[1].SA[4].CU[2], cu_IPC, 0.089838416296
99, GPU[1].SA[4].CU[2], simd_inst_count, 84270.000000000000
100, GPU[1].SA[4].CU[2], simd_CPI, 19.675898896404
101, GPU[1].SA[4].CU[3], cu_inst_count, 148960.000000000000
102, GPU[1].SA[4].CU[3], cu_CPI, 11.131095596133
103, GPU[1].SA[4].CU[3], cu_IPC, 0.089838416296
104, GPU[1].SA[4].CU[3], simd_inst_count, 84525.000000000000
105, GPU[1].SA[4].CU[3], simd_CPI, 19.616539485359
106, GPU[1].SA[5].CU[0], cu_inst_count, 148960.000000000000
107, GPU[1].SA[5].CU[0], cu_CPI, 11.131095596133
108, GPU[1].SA[5].CU[0], cu_IPC, 0.089838416296
109, GPU[1].SA[5].CU[0], simd_inst_count, 84244.000000000000
110, GPU[1].SA[5].CU[0], simd_CPI, 19.681971416362
111, GPU[1].SA[5].CU[1], cu_inst_count, 148960.000000000000
112, GPU[1].SA[5].CU[1], cu_CPI, 11.131095596133
113, GPU[1].SA[5].CU[1], cu_IPC, 0.089838416296
114, GPU[1].SA[5].CU[1], simd_inst_count, 84323.000000000000
115, GPU[1].SA[5].CU[1], simd_CPI, 19.663531895212
116, GPU[1].SA[5].CU[2], cu_inst_count, 148960.000000000000
117, GPU[1].SA[5].CU[2], cu_CPI, 11.131095596133
118, GPU[1].SA[5].CU[2], cu_IPC, 0.089838416296
119, GPU[1].SA[5].CU[2], simd_inst_count, 84278.000000000000
120, GPU[1].SA[5].CU[2], simd_CPI, 19.674031182515
121, GPU[1].SA[5].CU[3], cu_inst_count, 148960.000000000000
122, GPU[1].SA[5].CU[3], cu_CPI, 11.131095596133
123, GPU[1].SA[5].CU[3], cu_IPC, 0.089838416296
124, GPU[1].SA[5].CU[3], simd_inst_count, 84783.000000000000
125, GPU[1].SA[5].CU[3], simd_CPI, 19.556845122253
126, GPU[1].SA[6].CU[0], cu_inst_count, 148960.000000000000
127, GPU[1].SA[6].CU[0], cu_CPI, 11.131095596133
128, GPU[1].SA[6].CU[0], cu_IPC, 0.089838416296
129, GPU[1].SA[6].CU[0], simd_inst_count, 84197.000000000000
130, GPU[1].SA[6].CU[0], simd_CPI, 19.692958181408
131, GPU[1].SA[6].CU[1], cu_inst_count, 148960.000000000000
132, GPU[1].SA[6].CU[1], cu_CPI, 11.131095596133
133, GPU[1].SA[6].CU[1], cu_IPC, 0.089838416296
134, GPU[1].SA[6].CU[1], simd_inst_count, 84225.000000000000
135, GPU[1].SA[6].CU[1], simd_CPI, 19.686411398041
136, GPU[1].SA[6].CU[2], cu_inst_count, 148960.000000000000
137, GPU[1].SA[6].CU[2], cu_CPI, 11.131095596133
138, GPU[1].SA[6].CU[2], cu_IPC, 0.089838416296
139, GPU[1].SA[6].CU[2], simd_inst_count, 84292.000000000000
140, GPU[1].SA[6].CU[2], simd_CPI, 19.670763536279
141, GPU[1].SA[6].CU[3], cu_inst_count, 148960.000000000000
142, GPU[1].SA[6].CU[3], cu_CPI, 11.131095596133
143, GPU[1].SA[6].CU[3], cu_IPC, 0.089838416296
144, GPU[1].SA[6].CU[3], simd_inst_count, 84455.000000000000
145, GPU[1].SA[6].CU[3], simd_CPI, 19.632798531762
146, GPU[1].SA[7].CU[0], cu_inst_count, 148960.000000000000
147, GPU[1].SA[7].CU[0], cu_CPI, 11.131095596133
148, GPU[1].SA[7].CU[0], cu_IPC, 0.089838416296
149, GPU[1].SA[7].CU[0], simd_inst_count, 84102.000000000000
150, GPU[1].SA[7].CU[0], simd_CPI, 19.715202967825
151, GPU[1].SA[7].CU[1], cu_inst_count, 148960.000000000000
152, GPU[1].SA[7].CU[1], cu_CPI, 11.131095596133
153, GPU[1].SA[7].CU[1], cu_IPC, 0.089838416296
154, GPU[1].SA[7].CU[1], simd_inst_count, 84134.000000000000
155, GPU[1].SA[7].CU[1], simd_CPI, 19.707704376352
156, GPU[1].SA[7].CU[2], cu_inst_count, 148960.000000000000
157, GPU[1].SA[7].CU[2], cu_CPI, 11.131095596133
