Benchmark,L1VCache HIT ratio,L2 HIT ratio,DRAM HIT ratio
aes,0.9816026649080979,0.05203177161275469,0.49996964361605245
bfs,0.9135338345864662,0.0,0.5268817204301075
bitonicsort,0.055881382717271715,0.9903311294490841,0.49906192369602065
concurrentkernel,0.30404358353510896,0.920976713055921,0.3405097748082158
fastwalshtransform,0.15855922121788268,0.017605683791760456,0.49999275428088524
fir,0.6752978735712153,0.8421749513702983,0.4173329598696272
floydwarshall,0.0440251572327044,0.7710843373493976,0.477124183006536
im2col,0.0,0.0,0.8598484848484849
kmeans,0.36585365853658536,0.7675298879436345,0.7647393757440861
matrixmultiplication,0.0,0.009523809523809525,0.45621181262729127
matrixtranspose,0.0,0.0,0.4999695474754857
memcopy,0,0,0.5
pagerank,0.75,0.759046052631579,0.4867986798679868
relu,0.0,0.0,0.4999961857974353
stencil2d,0.28346456692913385,0.6606334841628959,0.412568306010929
xor,0.0,0.038461538461538464,0.44715447154471544
