, where, what, value
0, Driver, kernel_time, 0.000030552000
1, Driver, total_time, 0.000054905000
2, GPU[1].CommandProcessor, kernel_time, 0.000024662000
3, GPU[1].SA[0].CU[0], cu_inst_count, 220.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 138.872727272727
5, GPU[1].SA[0].CU[0], cu_IPC, 0.007200837916
6, GPU[1].SA[0].CU[0], simd_inst_count, 169.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 180.781065088757
8, GPU[1].SA[0].CU[1], cu_inst_count, 220.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 138.872727272727
10, GPU[1].SA[0].CU[1], cu_IPC, 0.007200837916
11, GPU[1].SA[0].CU[1], simd_inst_count, 169.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 180.781065088757
13, GPU[1].SA[0].CU[2], cu_inst_count, 220.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 138.872727272727
15, GPU[1].SA[0].CU[2], cu_IPC, 0.007200837916
16, GPU[1].SA[0].CU[2], simd_inst_count, 172.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 177.627906976744
18, GPU[1].SA[0].CU[3], cu_inst_count, 220.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 138.872727272727
20, GPU[1].SA[0].CU[3], cu_IPC, 0.007200837916
21, GPU[1].SA[0].CU[3], simd_inst_count, 172.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 177.627906976744
23, GPU[1].SA[1].CU[0], cu_inst_count, 220.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 138.872727272727
25, GPU[1].SA[1].CU[0], cu_IPC, 0.007200837916
26, GPU[1].SA[1].CU[0], simd_inst_count, 172.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 177.627906976744
28, GPU[1].SA[1].CU[1], cu_inst_count, 220.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 138.872727272727
30, GPU[1].SA[1].CU[1], cu_IPC, 0.007200837916
31, GPU[1].SA[1].CU[1], simd_inst_count, 172.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 177.627906976744
33, GPU[1].SA[1].CU[2], cu_inst_count, 220.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 138.872727272727
35, GPU[1].SA[1].CU[2], cu_IPC, 0.007200837916
36, GPU[1].SA[1].CU[2], simd_inst_count, 172.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 177.627906976744
38, GPU[1].SA[1].CU[3], cu_inst_count, 220.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 138.872727272727
40, GPU[1].SA[1].CU[3], cu_IPC, 0.007200837916
41, GPU[1].SA[1].CU[3], simd_inst_count, 172.000000000000
42, GPU[1].SA[1].CU[3], simd_CPI, 177.627906976744
43, GPU[1].SA[2].CU[0], cu_inst_count, 220.000000000000
44, GPU[1].SA[2].CU[0], cu_CPI, 138.872727272727
45, GPU[1].SA[2].CU[0], cu_IPC, 0.007200837916
46, GPU[1].SA[2].CU[0], simd_inst_count, 172.000000000000
47, GPU[1].SA[2].CU[0], simd_CPI, 177.627906976744
48, GPU[1].SA[2].CU[1], cu_inst_count, 220.000000000000
49, GPU[1].SA[2].CU[1], cu_CPI, 138.872727272727
50, GPU[1].SA[2].CU[1], cu_IPC, 0.007200837916
51, GPU[1].SA[2].CU[1], simd_inst_count, 172.000000000000
52, GPU[1].SA[2].CU[1], simd_CPI, 177.627906976744
53, GPU[1].SA[2].CU[2], cu_inst_count, 220.000000000000
54, GPU[1].SA[2].CU[2], cu_CPI, 138.872727272727
55, GPU[1].SA[2].CU[2], cu_IPC, 0.007200837916
56, GPU[1].SA[2].CU[2], simd_inst_count, 171.000000000000
57, GPU[1].SA[2].CU[2], simd_CPI, 178.666666666667
58, GPU[1].SA[2].CU[3], cu_inst_count, 220.000000000000
59, GPU[1].SA[2].CU[3], cu_CPI, 138.872727272727
60, GPU[1].SA[2].CU[3], cu_IPC, 0.007200837916
61, GPU[1].SA[2].CU[3], simd_inst_count, 171.000000000000
62, GPU[1].SA[2].CU[3], simd_CPI, 178.666666666667
63, GPU[1].SA[3].CU[0], cu_inst_count, 220.000000000000
64, GPU[1].SA[3].CU[0], cu_CPI, 138.872727272727
65, GPU[1].SA[3].CU[0], cu_IPC, 0.007200837916
66, GPU[1].SA[3].CU[0], simd_inst_count, 171.000000000000
67, GPU[1].SA[3].CU[0], simd_CPI, 178.666666666667
