, where, what, value
0, Driver, kernel_time, 0.000276335000
1, Driver, total_time, 0.001945537000
2, GPU[1].CommandProcessor, kernel_time, 0.000265144000
3, GPU[1].SA[0].CU[0], cu_inst_count, 80080.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 3.450736763237
5, GPU[1].SA[0].CU[0], cu_IPC, 0.289793185807
6, GPU[1].SA[0].CU[0], simd_inst_count, 58276.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 4.741831971995
8, GPU[1].SA[0].CU[1], cu_inst_count, 80520.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 3.431880278192
10, GPU[1].SA[0].CU[1], cu_IPC, 0.291385456059
11, GPU[1].SA[0].CU[1], simd_inst_count, 58670.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 4.709988068860
13, GPU[1].SA[0].CU[2], cu_inst_count, 79860.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 3.460242925119
15, GPU[1].SA[0].CU[2], cu_IPC, 0.288997050681
16, GPU[1].SA[0].CU[2], simd_inst_count, 58420.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 4.730143786375
18, GPU[1].SA[0].CU[3], cu_inst_count, 79640.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 3.469801607233
20, GPU[1].SA[0].CU[3], cu_IPC, 0.288200915555
21, GPU[1].SA[0].CU[3], simd_inst_count, 57850.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 4.776750216076
23, GPU[1].SA[1].CU[0], cu_inst_count, 80520.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 3.431880278192
25, GPU[1].SA[1].CU[0], cu_IPC, 0.291385456059
26, GPU[1].SA[1].CU[0], simd_inst_count, 58938.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 4.688571040755
28, GPU[1].SA[1].CU[1], cu_inst_count, 79860.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 3.460242925119
30, GPU[1].SA[1].CU[1], cu_IPC, 0.288997050681
31, GPU[1].SA[1].CU[1], simd_inst_count, 58415.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 4.730548660447
33, GPU[1].SA[1].CU[2], cu_inst_count, 80300.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 3.441282689913
35, GPU[1].SA[1].CU[2], cu_IPC, 0.290589320933
36, GPU[1].SA[1].CU[2], simd_inst_count, 58548.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 4.719802555168
38, GPU[1].SA[1].CU[3], cu_inst_count, 79860.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 3.460242925119
40, GPU[1].SA[1].CU[3], cu_IPC, 0.288997050681
