, where, what, value
0, Driver, kernel_time, 0.000278160000
1, Driver, total_time, 0.000977437000
2, GPU[1].CommandProcessor, kernel_time, 0.000276982000
3, GPU[1].SA[0].CU[0], cu_inst_count, 149976.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 1.854696751480
5, GPU[1].SA[0].CU[0], cu_IPC, 0.539171699741
6, GPU[1].SA[0].CU[0], simd_inst_count, 113129.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 2.458785987678
8, GPU[1].SA[0].CU[1], cu_inst_count, 149976.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 1.854696751480
10, GPU[1].SA[0].CU[1], cu_IPC, 0.539171699741
11, GPU[1].SA[0].CU[1], simd_inst_count, 113691.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 2.446631659498
13, GPU[1].SA[0].CU[2], cu_inst_count, 141644.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 1.963796560391
15, GPU[1].SA[0].CU[2], cu_IPC, 0.509217716422
16, GPU[1].SA[0].CU[2], simd_inst_count, 107813.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 2.580022817285
18, GPU[1].SA[0].CU[3], cu_inst_count, 139561.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 1.993106956815
20, GPU[1].SA[0].CU[3], cu_IPC, 0.501729220592
21, GPU[1].SA[0].CU[3], simd_inst_count, 105804.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 2.629012135647
23, GPU[1].SA[1].CU[0], cu_inst_count, 149976.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 1.854696751480
25, GPU[1].SA[1].CU[0], cu_IPC, 0.539171699741
26, GPU[1].SA[1].CU[0], simd_inst_count, 113555.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 2.449561886311
28, GPU[1].SA[1].CU[1], cu_inst_count, 149976.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 1.854696751480
30, GPU[1].SA[1].CU[1], cu_IPC, 0.539171699741
31, GPU[1].SA[1].CU[1], simd_inst_count, 112774.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 2.466525972299
33, GPU[1].SA[1].CU[2], cu_inst_count, 143727.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 1.935335740675
35, GPU[1].SA[1].CU[2], cu_IPC, 0.516706212252
36, GPU[1].SA[1].CU[2], simd_inst_count, 109416.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 2.542224171968
38, GPU[1].SA[1].CU[3], cu_inst_count, 139561.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 1.993106956815
40, GPU[1].SA[1].CU[3], cu_IPC, 0.501729220592
41, GPU[1].SA[1].CU[3], simd_inst_count, 105146.000000000000
42, GPU[1].SA[1].CU[3], simd_CPI, 2.645464401879
43, GPU[1].SA[2].CU[0], cu_inst_count, 149976.000000000000
44, GPU[1].SA[2].CU[0], cu_CPI, 1.854696751480
45, GPU[1].SA[2].CU[0], cu_IPC, 0.539171699741
46, GPU[1].SA[2].CU[0], simd_inst_count, 113700.000000000000
47, GPU[1].SA[2].CU[0], simd_CPI, 2.446437994723
48, GPU[1].SA[2].CU[1], cu_inst_count, 141644.000000000000
