, where, what, value
0, Driver, kernel_time, 0.000052863000
1, Driver, total_time, 0.000133872000
2, GPU[1].CommandProcessor, kernel_time, 0.000052274000
3, GPU[1].SA[0].CU[0], cu_inst_count, 50176.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 1.053551498724
5, GPU[1].SA[0].CU[0], cu_IPC, 0.949170497323
6, GPU[1].SA[0].CU[0], simd_inst_count, 41003.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 1.289247128259
8, GPU[1].SA[0].CU[1], cu_inst_count, 50176.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 1.053551498724
10, GPU[1].SA[0].CU[1], cu_IPC, 0.949170497323
11, GPU[1].SA[0].CU[1], simd_inst_count, 40745.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 1.297410725242
13, GPU[1].SA[0].CU[2], cu_inst_count, 50176.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 1.053551498724
15, GPU[1].SA[0].CU[2], cu_IPC, 0.949170497323
16, GPU[1].SA[0].CU[2], simd_inst_count, 40781.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 1.296265417719
18, GPU[1].SA[0].CU[3], cu_inst_count, 50176.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 1.053551498724
20, GPU[1].SA[0].CU[3], cu_IPC, 0.949170497323
21, GPU[1].SA[0].CU[3], simd_inst_count, 40726.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 1.298016009429
23, GPU[1].SA[1].CU[0], cu_inst_count, 48608.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 1.087537030941
25, GPU[1].SA[1].CU[0], cu_IPC, 0.919508919282
26, GPU[1].SA[1].CU[0], simd_inst_count, 39716.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 1.331025279484
28, GPU[1].SA[1].CU[1], cu_inst_count, 51744.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 1.021625695733
30, GPU[1].SA[1].CU[1], cu_IPC, 0.978832075365
31, GPU[1].SA[1].CU[1], simd_inst_count, 42386.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 1.247180672864
33, GPU[1].SA[1].CU[2], cu_inst_count, 50176.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 1.053551498724
35, GPU[1].SA[1].CU[2], cu_IPC, 0.949170497323
36, GPU[1].SA[1].CU[2], simd_inst_count, 41092.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 1.286454784386
38, GPU[1].SA[1].CU[3], cu_inst_count, 50176.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 1.053551498724
40, GPU[1].SA[1].CU[3], cu_IPC, 0.949170497323
41, GPU[1].SA[1].CU[3], simd_inst_count, 41195.000000000000
42, GPU[1].SA[1].CU[3], simd_CPI, 1.283238257070
43, GPU[1].SA[2].CU[0], cu_inst_count, 48608.000000000000
44, GPU[1].SA[2].CU[0], cu_CPI, 1.087537030941
45, GPU[1].SA[2].CU[0], cu_IPC, 0.919508919282
46, GPU[1].SA[2].CU[0], simd_inst_count, 39642.000000000000
47, GPU[1].SA[2].CU[0], simd_CPI, 1.333509913728
48, GPU[1].SA[2].CU[1], cu_inst_count, 48608.000000000000
49, GPU[1].SA[2].CU[1], cu_CPI, 1.087537030941
50, GPU[1].SA[2].CU[1], cu_IPC, 0.919508919282
51, GPU[1].SA[2].CU[1], simd_inst_count, 39844.000000000000
52, GPU[1].SA[2].CU[1], simd_CPI, 1.326749322357
53, GPU[1].SA[2].CU[2], cu_inst_count, 48608.000000000000
54, GPU[1].SA[2].CU[2], cu_CPI, 1.087537030941
55, GPU[1].SA[2].CU[2], cu_IPC, 0.919508919282
56, GPU[1].SA[2].CU[2], simd_inst_count, 40020.000000000000
57, GPU[1].SA[2].CU[2], simd_CPI, 1.320914542729
58, GPU[1].SA[2].CU[3], cu_inst_count, 50176.000000000000
59, GPU[1].SA[2].CU[3], cu_CPI, 1.053551498724
60, GPU[1].SA[2].CU[3], cu_IPC, 0.949170497323
61, GPU[1].SA[2].CU[3], simd_inst_count, 40894.000000000000
62, GPU[1].SA[2].CU[3], simd_CPI, 1.292683523255
63, GPU[1].SA[3].CU[0], cu_inst_count, 50176.000000000000
64, GPU[1].SA[3].CU[0], cu_CPI, 1.053551498724
65, GPU[1].SA[3].CU[0], cu_IPC, 0.949170497323
66, GPU[1].SA[3].CU[0], simd_inst_count, 40730.000000000000
67, GPU[1].SA[3].CU[0], simd_CPI, 1.297888534250
68, GPU[1].SA[3].CU[1], cu_inst_count, 50176.000000000000
69, GPU[1].SA[3].CU[1], cu_CPI, 1.053551498724
70, GPU[1].SA[3].CU[1], cu_IPC, 0.949170497323
71, GPU[1].SA[3].CU[1], simd_inst_count, 40829.000000000000
72, GPU[1].SA[3].CU[1], simd_CPI, 1.294741482770
73, GPU[1].SA[3].CU[2], cu_inst_count, 48608.000000000000
74, GPU[1].SA[3].CU[2], cu_CPI, 1.087537030941
75, GPU[1].SA[3].CU[2], cu_IPC, 0.919508919282
