, where, what, value
0, Driver, kernel_time, 0.000668996000
1, Driver, total_time, 0.000693279000
2, GPU[1].CommandProcessor, kernel_time, 0.000664665000
3, GPU[2].CommandProcessor, kernel_time, 0.000661005000
4, GPU[3].CommandProcessor, kernel_time, 0.000636963000
5, GPU[4].CommandProcessor, kernel_time, 0.000628854000
6, GPU[1].SA[0].CU[0], cu_inst_count, 657.000000000000
7, GPU[1].SA[0].CU[0], cu_CPI, 1018.258751902587
8, GPU[1].SA[0].CU[0], cu_IPC, 0.000982068652
9, GPU[1].SA[0].CU[0], simd_inst_count, 455.000000000000
10, GPU[1].SA[0].CU[0], simd_CPI, 1470.320879120879
11, GPU[1].SA[0].CU[1], cu_inst_count, 657.000000000000
12, GPU[1].SA[0].CU[1], cu_CPI, 1018.258751902587
13, GPU[1].SA[0].CU[1], cu_IPC, 0.000982068652
14, GPU[1].SA[0].CU[1], simd_inst_count, 455.000000000000
15, GPU[1].SA[0].CU[1], simd_CPI, 1470.320879120879
16, GPU[1].SA[0].CU[2], cu_inst_count, 657.000000000000
17, GPU[1].SA[0].CU[2], cu_CPI, 1018.258751902587
18, GPU[1].SA[0].CU[2], cu_IPC, 0.000982068652
19, GPU[1].SA[0].CU[2], simd_inst_count, 455.000000000000
20, GPU[1].SA[0].CU[2], simd_CPI, 1470.320879120879
21, GPU[1].SA[0].CU[3], cu_inst_count, 657.000000000000
22, GPU[1].SA[0].CU[3], cu_CPI, 1018.258751902587
23, GPU[1].SA[0].CU[3], cu_IPC, 0.000982068652
24, GPU[1].SA[0].CU[3], simd_inst_count, 455.000000000000
25, GPU[1].SA[0].CU[3], simd_CPI, 1470.320879120879
26, GPU[1].SA[1].CU[0], cu_inst_count, 3152.000000000000
27, GPU[1].SA[1].CU[0], cu_CPI, 212.244923857868
28, GPU[1].SA[1].CU[0], cu_IPC, 0.004711537887
29, GPU[1].SA[1].CU[0], simd_inst_count, 2469.000000000000
30, GPU[1].SA[1].CU[0], simd_CPI, 270.958282705549
31, GPU[1].SA[1].CU[1], cu_inst_count, 3152.000000000000
32, GPU[1].SA[1].CU[1], cu_CPI, 212.244923857868
33, GPU[1].SA[1].CU[1], cu_IPC, 0.004711537887
34, GPU[1].SA[1].CU[1], simd_inst_count, 2469.000000000000
35, GPU[1].SA[1].CU[1], simd_CPI, 270.958282705549
36, GPU[1].SA[1].CU[2], cu_inst_count, 3152.000000000000
37, GPU[1].SA[1].CU[2], cu_CPI, 212.244923857868
38, GPU[1].SA[1].CU[2], cu_IPC, 0.004711537887
39, GPU[1].SA[1].CU[2], simd_inst_count, 2470.000000000000
40, GPU[1].SA[1].CU[2], simd_CPI, 270.848582995951
41, GPU[1].SA[1].CU[3], cu_inst_count, 3152.000000000000
42, GPU[1].SA[1].CU[3], cu_CPI, 212.244923857868
43, GPU[1].SA[1].CU[3], cu_IPC, 0.004711537887
44, GPU[1].SA[1].CU[3], simd_inst_count, 2476.000000000000
45, GPU[1].SA[1].CU[3], simd_CPI, 270.192245557351
46, GPU[1].SA[2].CU[0], cu_inst_count, 3152.000000000000
47, GPU[1].SA[2].CU[0], cu_CPI, 212.244923857868
48, GPU[1].SA[2].CU[0], cu_IPC, 0.004711537887
49, GPU[1].SA[2].CU[0], simd_inst_count, 2469.000000000000
50, GPU[1].SA[2].CU[0], simd_CPI, 270.958282705549
51, GPU[1].SA[2].CU[1], cu_inst_count, 3152.000000000000
52, GPU[1].SA[2].CU[1], cu_CPI, 212.244923857868
