, where, what, value
0, Driver, kernel_time, 0.000385477000
1, Driver, total_time, 0.000403999000
2, GPU[1].CommandProcessor, kernel_time, 0.000380765000
3, GPU[1].SA[0].CU[0], cu_inst_count, 23988.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 16.069576454894
5, GPU[1].SA[0].CU[0], cu_IPC, 0.062229393712
6, GPU[1].SA[0].CU[0], simd_inst_count, 17680.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 21.802997737557
8, GPU[1].SA[0].CU[1], cu_inst_count, 23988.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 16.069576454894
10, GPU[1].SA[0].CU[1], cu_IPC, 0.062229393712
11, GPU[1].SA[0].CU[1], simd_inst_count, 17688.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 21.793136589778
13, GPU[1].SA[0].CU[2], cu_inst_count, 23988.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 16.069576454894
15, GPU[1].SA[0].CU[2], cu_IPC, 0.062229393712
16, GPU[1].SA[0].CU[2], simd_inst_count, 17688.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 21.793136589778
18, GPU[1].SA[0].CU[3], cu_inst_count, 23988.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 16.069576454894
20, GPU[1].SA[0].CU[3], cu_IPC, 0.062229393712
21, GPU[1].SA[0].CU[3], simd_inst_count, 17688.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 21.793136589778
23, GPU[1].SA[1].CU[0], cu_inst_count, 23988.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 16.069576454894
25, GPU[1].SA[1].CU[0], cu_IPC, 0.062229393712
26, GPU[1].SA[1].CU[0], simd_inst_count, 17688.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 21.793136589778
28, GPU[1].SA[1].CU[1], cu_inst_count, 23988.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 16.069576454894
30, GPU[1].SA[1].CU[1], cu_IPC, 0.062229393712
31, GPU[1].SA[1].CU[1], simd_inst_count, 17688.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 21.793136589778
33, GPU[1].SA[1].CU[2], cu_inst_count, 23988.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 16.069576454894
35, GPU[1].SA[1].CU[2], cu_IPC, 0.062229393712
36, GPU[1].SA[1].CU[2], simd_inst_count, 17688.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 21.793136589778
38, GPU[1].SA[1].CU[3], cu_inst_count, 23988.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 16.069576454894
40, GPU[1].SA[1].CU[3], cu_IPC, 0.062229393712
41, GPU[1].SA[1].CU[3], simd_inst_count, 17688.000000000000
42, GPU[1].SA[1].CU[3], simd_CPI, 21.793136589778
43, GPU[1].SA[2].CU[0], cu_inst_count, 0.000000000000
44, GPU[1].SA[2].CU[0], cu_CPI, +Inf
45, GPU[1].SA[2].CU[0], cu_IPC, 0.000000000000
46, GPU[1].SA[2].CU[0], simd_inst_count, 0.000000000000
47, GPU[1].SA[2].CU[0], simd_CPI, +Inf
48, GPU[1].SA[2].CU[1], cu_inst_count, 0.000000000000
49, GPU[1].SA[2].CU[1], cu_CPI, +Inf
50, GPU[1].SA[2].CU[1], cu_IPC, 0.000000000000
51, GPU[1].SA[2].CU[1], simd_inst_count, 0.000000000000
52, GPU[1].SA[2].CU[1], simd_CPI, +Inf
53, GPU[1].SA[2].CU[2], cu_inst_count, 0.000000000000
54, GPU[1].SA[2].CU[2], cu_CPI, +Inf
55, GPU[1].SA[2].CU[2], cu_IPC, 0.000000000000
56, GPU[1].SA[2].CU[2], simd_inst_count, 0.000000000000
57, GPU[1].SA[2].CU[2], simd_CPI, +Inf
58, GPU[1].SA[2].CU[3], cu_inst_count, 0.000000000000
59, GPU[1].SA[2].CU[3], cu_CPI, +Inf
60, GPU[1].SA[2].CU[3], cu_IPC, 0.000000000000
61, GPU[1].SA[2].CU[3], simd_inst_count, 0.000000000000
62, GPU[1].SA[2].CU[3], simd_CPI, +Inf
63, GPU[1].SA[3].CU[0], cu_inst_count, 0.000000000000
64, GPU[1].SA[3].CU[0], cu_CPI, +Inf
65, GPU[1].SA[3].CU[0], cu_IPC, 0.000000000000
66, GPU[1].SA[3].CU[0], simd_inst_count, 0.000000000000
67, GPU[1].SA[3].CU[0], simd_CPI, +Inf
68, GPU[1].SA[3].CU[1], cu_inst_count, 0.000000000000
69, GPU[1].SA[3].CU[1], cu_CPI, +Inf
70, GPU[1].SA[3].CU[1], cu_IPC, 0.000000000000
71, GPU[1].SA[3].CU[1], simd_inst_count, 0.000000000000
72, GPU[1].SA[3].CU[1], simd_CPI, +Inf
73, GPU[1].SA[3].CU[2], cu_inst_count, 0.000000000000
74, GPU[1].SA[3].CU[2], cu_CPI, +Inf
75, GPU[1].SA[3].CU[2], cu_IPC, 0.000000000000
76, GPU[1].SA[3].CU[2], simd_inst_count, 0.000000000000
77, GPU[1].SA[3].CU[2], simd_CPI, +Inf
78, GPU[1].SA[3].CU[3], cu_inst_count, 0.000000000000
79, GPU[1].SA[3].CU[3], cu_CPI, +Inf
80, GPU[1].SA[3].CU[3], cu_IPC, 0.000000000000
81, GPU[1].SA[3].CU[3], simd_inst_count, 0.000000000000
82, GPU[1].SA[3].CU[3], simd_CPI, +Inf
83, GPU[1].SA[4].CU[0], cu_inst_count, 0.000000000000
84, GPU[1].SA[4].CU[0], cu_CPI, +Inf
85, GPU[1].SA[4].CU[0], cu_IPC, 0.000000000000
86, GPU[1].SA[4].CU[0], simd_inst_count, 0.000000000000
87, GPU[1].SA[4].CU[0], simd_CPI, +Inf
88, GPU[1].SA[4].CU[1], cu_inst_count, 0.000000000000
89, GPU[1].SA[4].CU[1], cu_CPI, +Inf
90, GPU[1].SA[4].CU[1], cu_IPC, 0.000000000000
