, where, what, value
0, Driver, kernel_time, 0.000060842000
1, Driver, total_time, 0.000095585000
2, GPU[1].CommandProcessor, kernel_time, 0.000000000000
3, GPU[2].CommandProcessor, kernel_time, 0.000000000000
4, GPU[3].CommandProcessor, kernel_time, 0.000000000000
5, GPU[4].CommandProcessor, kernel_time, 0.000051418000
6, GPU[1].SA[0].CU[0], cu_inst_count, 0.000000000000
7, GPU[1].SA[0].CU[0], cu_CPI, +Inf
8, GPU[1].SA[0].CU[0], cu_IPC, 0.000000000000
9, GPU[1].SA[0].CU[0], simd_inst_count, 0.000000000000
10, GPU[1].SA[0].CU[0], simd_CPI, +Inf
11, GPU[1].SA[0].CU[1], cu_inst_count, 0.000000000000
12, GPU[1].SA[0].CU[1], cu_CPI, +Inf
13, GPU[1].SA[0].CU[1], cu_IPC, 0.000000000000
14, GPU[1].SA[0].CU[1], simd_inst_count, 0.000000000000
15, GPU[1].SA[0].CU[1], simd_CPI, +Inf
16, GPU[1].SA[0].CU[2], cu_inst_count, 0.000000000000
17, GPU[1].SA[0].CU[2], cu_CPI, +Inf
18, GPU[1].SA[0].CU[2], cu_IPC, 0.000000000000
19, GPU[1].SA[0].CU[2], simd_inst_count, 0.000000000000
20, GPU[1].SA[0].CU[2], simd_CPI, +Inf
21, GPU[1].SA[0].CU[3], cu_inst_count, 0.000000000000
22, GPU[1].SA[0].CU[3], cu_CPI, +Inf
23, GPU[1].SA[0].CU[3], cu_IPC, 0.000000000000
24, GPU[1].SA[0].CU[3], simd_inst_count, 0.000000000000
25, GPU[1].SA[0].CU[3], simd_CPI, +Inf
26, GPU[1].SA[1].CU[0], cu_inst_count, 0.000000000000
27, GPU[1].SA[1].CU[0], cu_CPI, +Inf
28, GPU[1].SA[1].CU[0], cu_IPC, 0.000000000000
29, GPU[1].SA[1].CU[0], simd_inst_count, 0.000000000000
30, GPU[1].SA[1].CU[0], simd_CPI, +Inf
31, GPU[1].SA[1].CU[1], cu_inst_count, 0.000000000000
32, GPU[1].SA[1].CU[1], cu_CPI, +Inf
33, GPU[1].SA[1].CU[1], cu_IPC, 0.000000000000
34, GPU[1].SA[1].CU[1], simd_inst_count, 0.000000000000
35, GPU[1].SA[1].CU[1], simd_CPI, +Inf
36, GPU[1].SA[1].CU[2], cu_inst_count, 0.000000000000
37, GPU[1].SA[1].CU[2], cu_CPI, +Inf
