, where, what, value
0, Driver, kernel_time, 0.000046254000
1, Driver, total_time, 0.000228903000
2, GPU[1].CommandProcessor, kernel_time, 0.000045665000
3, GPU[1].SA[0].CU[0], cu_inst_count, 3456.000000000000
4, GPU[1].SA[0].CU[0], cu_CPI, 13.383680555556
5, GPU[1].SA[0].CU[0], cu_IPC, 0.074717862239
6, GPU[1].SA[0].CU[0], simd_inst_count, 1958.000000000000
7, GPU[1].SA[0].CU[0], simd_CPI, 23.623084780388
8, GPU[1].SA[0].CU[1], cu_inst_count, 3456.000000000000
9, GPU[1].SA[0].CU[1], cu_CPI, 13.383680555556
10, GPU[1].SA[0].CU[1], cu_IPC, 0.074717862239
11, GPU[1].SA[0].CU[1], simd_inst_count, 1935.000000000000
12, GPU[1].SA[0].CU[1], simd_CPI, 23.903875968992
13, GPU[1].SA[0].CU[2], cu_inst_count, 3456.000000000000
14, GPU[1].SA[0].CU[2], cu_CPI, 13.383680555556
15, GPU[1].SA[0].CU[2], cu_IPC, 0.074717862239
16, GPU[1].SA[0].CU[2], simd_inst_count, 1935.000000000000
17, GPU[1].SA[0].CU[2], simd_CPI, 23.903875968992
18, GPU[1].SA[0].CU[3], cu_inst_count, 3456.000000000000
19, GPU[1].SA[0].CU[3], cu_CPI, 13.383680555556
20, GPU[1].SA[0].CU[3], cu_IPC, 0.074717862239
21, GPU[1].SA[0].CU[3], simd_inst_count, 1962.000000000000
22, GPU[1].SA[0].CU[3], simd_CPI, 23.574923547401
23, GPU[1].SA[1].CU[0], cu_inst_count, 3456.000000000000
24, GPU[1].SA[1].CU[0], cu_CPI, 13.383680555556
25, GPU[1].SA[1].CU[0], cu_IPC, 0.074717862239
26, GPU[1].SA[1].CU[0], simd_inst_count, 1939.000000000000
27, GPU[1].SA[1].CU[0], simd_CPI, 23.854564208355
28, GPU[1].SA[1].CU[1], cu_inst_count, 3456.000000000000
29, GPU[1].SA[1].CU[1], cu_CPI, 13.383680555556
30, GPU[1].SA[1].CU[1], cu_IPC, 0.074717862239
31, GPU[1].SA[1].CU[1], simd_inst_count, 1983.000000000000
32, GPU[1].SA[1].CU[1], simd_CPI, 23.325264750378
33, GPU[1].SA[1].CU[2], cu_inst_count, 3456.000000000000
34, GPU[1].SA[1].CU[2], cu_CPI, 13.383680555556
35, GPU[1].SA[1].CU[2], cu_IPC, 0.074717862239
36, GPU[1].SA[1].CU[2], simd_inst_count, 1992.000000000000
37, GPU[1].SA[1].CU[2], simd_CPI, 23.219879518072
38, GPU[1].SA[1].CU[3], cu_inst_count, 3456.000000000000
39, GPU[1].SA[1].CU[3], cu_CPI, 13.383680555556
40, GPU[1].SA[1].CU[3], cu_IPC, 0.074717862239
41, GPU[1].SA[1].CU[3], simd_inst_count, 1996.000000000000
42, GPU[1].SA[1].CU[3], simd_CPI, 23.173346693387
43, GPU[1].SA[2].CU[0], cu_inst_count, 3456.000000000000
44, GPU[1].SA[2].CU[0], cu_CPI, 13.383680555556
45, GPU[1].SA[2].CU[0], cu_IPC, 0.074717862239
46, GPU[1].SA[2].CU[0], simd_inst_count, 1982.000000000000
47, GPU[1].SA[2].CU[0], simd_CPI, 23.337033299697
48, GPU[1].SA[2].CU[1], cu_inst_count, 3456.000000000000
49, GPU[1].SA[2].CU[1], cu_CPI, 13.383680555556
