Benchmark,Average IPC,L2TLB HIT ratio,L1VTLB HIT ratio
aes,0.6507726883070004,0.0,0.8496295310350946
bfs,0.00175180288459375,0.38461538461538464,0.9209558823529411
bitonicsort,0.12929963493443752,0.033305317213288874,0.2537739005028249
concurrentkernel,0.07214173454106258,0.18938053097345134,0.725118939279675
fastwalshtransform,0.24208114496270317,0.06393615155235924,0.5752458672741547
fir,0.9583436789730011,0.23016202742002492,0.7338133211292672
floydwarshall,0.0011393626223750015,0.7536231884057971,0.2899673693572425
im2col,0.09481903817593745,0.0,0.058823529411764705
kmeans,0.013249431832750016,0.0,0.3326671304787806
matrixmultiplication,0.0067890632253125,0.23529411764705882,0.9480702764976957
matrixtranspose,0.013154338228750005,0.0,0.7012406947890819
memcopy,nan,0,0
pagerank,0.009045311569999995,0.09830310122878877,0.761623975941137
relu,0.07471786223899993,0.06038426349496798,0.01886792452830189
stencil2d,0.003993729224375,0.6330275229357798,0.8594295463180004
xor,0.000117632343828125,0.1111111111111111,0.064
