Benchmark,L1VCache HIT ratio,L2 HIT ratio,DRAM HIT ratio
aes,0.9816048033780885,0.053665823948517585,0.49996964361605245
bfs,0.9135338345864662,0.0,0.5268817204301075
bitonicsort,0.05446077464849103,0.9903113016411044,0.4991076518190584
concurrentkernel,0.3118428803124319,0.9201064003546678,0.3405097748082158
fastwalshtransform,0.15840486627565828,0.017903127882864057,0.49999275428088524
fir,0.668263508641871,0.8454673599947199,0.41790759345198636
floydwarshall,0.0440251572327044,0.7710843373493976,0.477124183006536
im2col,0.0,0.0,0.8598484848484849
kmeans,0.36585365853658536,0.7675298879436345,0.7647393757440861
matrixmultiplication,0.0,0.009523809523809525,0.45621181262729127
matrixtranspose,0.0,0.0,0.4999695474754857
memcopy,0,0,0.5
pagerank,0.9921875,0.2627918132395267,0.4864964658719274
relu,0.0,0.0,0.4999961857974353
stencil2d,0.28346456692913385,0.6606334841628959,0.412568306010929
xor,0.0,0.038461538461538464,0.44715447154471544
